{0., 0.45072386794664543 + 0.*I}
{0.02, 0.45112605211811674 + 0.*I}
{0.04, 0.45150083712835354 + 0.*I}
{0.06, 0.4518468075059266 + 0.*I}
{0.08, 0.452163172971238 + 0.*I}
{0.1, 0.4524495837275055 + 0.*I}
{0.12, 0.4527059854442398 + 0.*I}
{0.14, 0.45293250765228305 + 0.*I}
{0.16, 0.45312937922566 + 0.*I}
{0.18, 0.45329686527486956 + 0.*I}
{0.2, 0.4534352206980444 + 0.*I}
{0.22, 0.4535446566042014 + 0.*I}
{0.24, 0.4536253167314723 + 0.*I}
{0.26, 0.45367726179898415 + 0.*I}
{0.28, 0.45370046045910417 + 0.*I}
{0.3, 0.45369478618355596 + 0.*I}
{0.32, 0.4536600200598988 + 0.*I}
{0.34, 0.45359586013774184 + 0.*I}
{0.36, 0.4535019386946932 + 0.*I}
{0.38, 0.45337784963998645 + 0.*I}
{0.4, 0.45322318928637967 + 0.*I}
{0.42, 0.45303761493371464 + 0.*I}
{0.44, 0.4528209271239104 + 0.*I}
{0.46, 0.45257318297991056 + 0.*I}
{0.48, 0.45229484952416904 + 0.*I}
{0.5, 0.4519870068288992 + 0.*I}
{0.52, 0.4519926184504844 + 0.*I}
{0.54, 0.45245992142089575 + 0.*I}
{0.56, 0.45289856349007607 + 0.*I}
{0.58, 0.4533074483983909 + 0.*I}
{0.6, 0.45368600363017714 + 0.*I}
{0.62, 0.45403401278757255 + 0.*I}
{0.64, 0.45435148478935883 + 0.*I}
{0.66, 0.4546385534059945 + 0.*I}
{0.68, 0.4548954010206313 + 0.*I}
{0.7000000000000001, 0.4551222013612928 + 0.*I}
{0.72, 0.45531907696784046 + 0.*I}
{0.74, 0.45548606818626153 + 0.*I}
{0.76, 0.4556231114696272 + 0.*I}
{0.78, 0.45573002571829546 + 0.*I}
{0.8, 0.4558065063587032 + 0.*I}
{0.8200000000000001, 0.45585212791616153 + 0.*I}
{0.84, 0.4558663570831812 + 0.*I}
{0.86, 0.4558485798471577 + 0.*I}
{0.88, 0.4557981482685965 + 0.*I}
{0.9, 0.4557144551517149 + 0.*I}
{0.92, 0.4555970482490658 + 0.*I}
{0.9400000000000001, 0.45544579978248567 + 0.*I}
{0.96, 0.45526115158516794 + 0.*I}
{0.98, 0.45504445988938835 + 0.*I}
{1., 0.45526175255387996 + 0.*I}
{1.02, 0.45580860819971336 + 0.*I}
{1.04, 0.45632405945006854 + 0.*I}
{1.06, 0.45680719970037914 + 0.*I}
{1.08, 0.4572576633720657 + 0.*I}
{1.1, 0.45767542162559793 + 0.*I}
{1.12, 0.4580606263644981 + 0.*I}
{1.1400000000000001, 0.4584134924109389 + 0.*I}
{1.16, 0.4587342090207315 + 0.*I}
{1.18, 0.45902287372103673 + 0.*I}
{1.2, 0.4592794434585337 + 0.*I}
{1.22, 0.4595037001802439 + 0.*I}
{1.24, 0.4596952303769805 + 0.*I}
{1.26, 0.45985342112559385 + 0.*I}
{1.28, 0.4599774793044693 + 0.*I}
{1.3, 0.4600664867323674 + 0.*I}
{1.32, 0.46011951313530913 + 0.*I}
{1.34, 0.4601358225315247 + 0.*I}
{1.36, 0.4601152282166842 + 0.*I}
{1.3800000000000001, 0.46005867693066255 + 0.*I}
{1.4000000000000001, 0.460021786622219 + 0.*I}
{1.42, 0.46068486148476534 + 0.*I}
{1.44, 0.4613123256104321 + 0.*I}
{1.46, 0.4619034449335109 + 0.*I}
{1.48, 0.46245836164278264 + 0.*I}
{1.5, 0.4629777251319864 + 0.*I}
{1.52, 0.46346242909289787 + 0.*I}
{1.54, 0.46391342988182527 + 0.*I}
{1.56, 0.4643316276996527 + 0.*I}
{1.58, 0.4647178013062072 + 0.*I}
{1.6, 0.46507259992160843 + 0.*I}
{1.62, 0.46539661669673005 + 0.*I}
{1.6400000000000001, 0.46569060561022285 + 0.*I}
{1.6600000000000001, 0.4659559756368836 + 0.*I}
{1.68, 0.4661958346170845 + 0.*I}
{1.7, 0.46587849922316565 + 0.*I}
{1.72, 0.46667222344996584 + 0.*I}
