{0., 0.6375212203550628 + 0.*I}
{0.02, 0.6363411740195782 + 0.*I}
{0.04, 0.635241597159333 + 0.*I}
{0.06, 0.6342266479952479 + 0.*I}
{0.08, 0.633298637173709 + 0.*I}
{0.1, 0.6324585728448355 + 0.*I}
{0.12, 0.6317065893212893 + 0.*I}
{0.14, 0.631042277384219 + 0.*I}
{0.16, 0.6304649346462732 + 0.*I}
{0.18, 0.6299737526031834 + 0.*I}
{0.2, 0.6295679543669727 + 0.*I}
{0.22, 0.6292468942611541 + 0.*I}
{0.24, 0.629010127796507 + 0.*I}
{0.26, 0.6288574581449835 + 0.*I}
{0.28, 0.6287889630796315 + 0.*I}
{0.3, 0.6288050043767865 + 0.*I}
{0.32, 0.6289062197744499 + 0.*I}
{0.34, 0.6290934956208281 + 0.*I}
{0.36, 0.6293679161897927 + 0.*I}
{0.38, 0.6297306831414367 + 0.*I}
{0.4, 0.6301829956297889 + 0.*I}
{0.42, 0.6307258780075938 + 0.*I}
{0.44, 0.6313599379494208 + 0.*I}
{0.46, 0.6320850333218053 + 0.*I}
{0.48, 0.6328998218999338 + 0.*I}
{0.5, 0.6338011654327511 + 0.*I}
{0.52, 0.6338842181640123 + 0.*I}
{0.54, 0.6325168012922765 + 0.*I}
{0.56, 0.6312333182407408 + 0.*I}
{0.58, 0.630037000243188 + 0.*I}
{0.6, 0.6289295236534842 + 0.*I}
{0.62, 0.6279115056130269 + 0.*I}
{0.64, 0.6269828914996362 + 0.*I}
{0.66, 0.6261432529029645 + 0.*I}
{0.68, 0.6253920139601871 + 0.*I}
{0.7000000000000001, 0.6247286214899421 + 0.*I}
{0.72, 0.6241526714320549 + 0.*I}
{0.74, 0.6236640011056351 + 0.*I}
{0.76, 0.6232627539086065 + 0.*I}
{0.78, 0.6229494202836194 + 0.*I}
{0.8, 0.6227248559367978 + 0.*I}
{0.8200000000000001, 0.6225902751996175 + 0.*I}
{0.84, 0.6225472137796373 + 0.*I}
{0.86, 0.6225974505875711 + 0.*I}
{0.88, 0.622742872428655 + 0.*I}
{0.9, 0.6229852576537053 + 0.*I}
{0.92, 0.6233259450318795 + 0.*I}
{0.9400000000000001, 0.6237653421875169 + 0.*I}
{0.96, 0.6243022150298491 + 0.*I}
{0.98, 0.6249328264985903 + 0.*I}
{1., 0.6244852309674015 + 0.*I}
{1.02, 0.622896500725351 + 0.*I}
{1.04, 0.6213990778104385 + 0.*I}
{1.06, 0.6199956557500771 + 0.*I}
{1.08, 0.6186873193775373 + 0.*I}
{1.1, 0.6174741467881915 + 0.*I}
{1.12, 0.6163556699221533 + 0.*I}
{1.1400000000000001, 0.6153312229544563 + 0.*I}
{1.16, 0.6144002042183019 + 0.*I}
{1.18, 0.6135622722587764 + 0.*I}
{1.2, 0.6128174908619785 + 0.*I}
{1.22, 0.612166431744517 + 0.*I}
{1.24, 0.6116102366378369 + 0.*I}
{1.26, 0.6111506318468037 + 0.*I}
{1.28, 0.6107898764838471 + 0.*I}
{1.3, 0.6105306081870621 + 0.*I}
{1.32, 0.6103755239778732 + 0.*I}
{1.34, 0.6103267948972658 + 0.*I}
{1.36, 0.6103850573417698 + 0.*I}
{1.3800000000000001, 0.6105477520629903 + 0.*I}
{1.4000000000000001, 0.6108912701343464 + 0.*I}
{1.42, 0.608986144111218 + 0.*I}
{1.44, 0.6071833449810287 + 0.*I}
{1.46, 0.6054851772148082 + 0.*I}
{1.48, 0.6038913541092378 + 0.*I}
{1.5, 0.6024000773440338 + 0.*I}
{1.52, 0.6010088095815033 + 0.*I}
{1.54, 0.5997148113342206 + 0.*I}
{1.56, 0.5985154959915095 + 0.*I}
{1.58, 0.5974086313643868 + 0.*I}
{1.6, 0.5963923800076311 + 0.*I}
{1.62, 0.5954651128442221 + 0.*I}
{1.6400000000000001, 0.5946248264549812 + 0.*I}
{1.6600000000000001, 0.5938677943981547 + 0.*I}
{1.68, 0.5931856976712262 + 0.*I}
{1.7, 0.5942874906759199 + 0.*I}
{1.72, 0.592036374988414 + 0.*I}
{1.74, 0.5899217735304547 + 0.*I}
{1.76, 0.5879437191160622 + 0.*I}
{1.78, 0.58609643962749 + 0.*I}
{1.8, 0.5843712859872889 + 0.*I}
{1.82, 0.5827585096805715 + 0.*I}
{1.84, 0.5812482786062207 + 0.*I}
{1.86, 0.5798312172425464 + 0.*I}
{1.8800000000000001, 0.5784986622566176 + 0.*I}
{1.9000000000000001, 0.5718251483137177 + 0.*I}
{1.92, 0.5693259247844875 + 0.*I}
{1.94, 0.5671193517700996 + 0.*I}
{1.96, 0.5651589880509134 + 0.*I}
{1.98, 0.5634016740500772 + 0.*I}
{2., 0.56181155811333 + 0.*I}
{2.02, 0.5603600691111278 + 0.*I}
{2.04, 0.5590247230700852 + 0.*I}
{2.06, 0.5577878130381577 + 0.*I}
{2.08, 0.5566352942273366 + 0.*I}
{2.1, 0.5555559136331192 + 0.*I}
{2.12, 0.5545405531187029 + 0.*I}
{2.14, 0.5535817393410265 + 0.*I}
{2.16, 0.5526732784429352 + 0.*I}
{2.18, 0.5518099824399985 + 0.*I}
{2.2, 0.5509874626928872 + 0.*I}
{2.22, 0.5502019725692391 + 0.*I}
{2.24, 0.5494502863852455 + 0.*I}
{2.2600000000000002, 0.5487296053165209 + 0.*I}
{2.2800000000000002, 0.5480374835363 + 0.*I}
{2.3000000000000003, 0.5473717696670902 + 0.*I}
{2.32, 0.546730559936056 + 0.*I}
{2.34, 0.5461121603596086 + 0.*I}
{2.36, 0.5455150559579267 + 0.*I}
{2.38, 0.5449378854914511 + 0.*I}
{2.4, 0.5443794205718909 + 0.*I}
{2.42, 0.5438385482670021 + 0.*I}
