{0., 0.5546689281050914 + 0.*I}
{0.02, 0.5541742771491737 + 0.*I}
{0.04, 0.5537141201115585 + 0.*I}
{0.06, 0.5532900207559142 + 0.*I}
{0.08, 0.5529027814384907 + 0.*I}
{0.1, 0.5525526757454209 + 0.*I}
{0.12, 0.5522396296453796 + 0.*I}
{0.14, 0.5519633597753516 + 0.*I}
{0.16, 0.5517234773146314 + 0.*I}
{0.18, 0.5515195649143659 + 0.*I}
{0.2, 0.5513512328667012 + 0.*I}
{0.22, 0.5512181593965477 + 0.*I}
{0.24, 0.5511201187632246 + 0.*I}
{0.26, 0.5510569998028327 + 0.*I}
{0.28, 0.5510288166117687 + 0.*I}
{0.3, 0.5510357122287349 + 0.*I}
{0.32, 0.551077955365693 + 0.*I}
{0.34, 0.5511559294090943 + 0.*I}
{0.36, 0.5512701119978547 + 0.*I}
{0.38, 0.5514210424176753 + 0.*I}
{0.4, 0.5516092727675603 + 0.*I}
{0.42, 0.5518352973017678 + 0.*I}
{0.44, 0.5520994525141919 + 0.*I}
{0.46, 0.5524017784830803 + 0.*I}
{0.48, 0.5527418299749085 + 0.*I}
{0.5, 0.5531184243765439 + 0.*I}
{0.52, 0.5531119840982114 + 0.*I}
{0.54, 0.5525405610650176 + 0.*I}
{0.56, 0.5520052591083363 + 0.*I}
{0.58, 0.5515072058040135 + 0.*I}
{0.6, 0.5510468978409622 + 0.*I}
{0.62, 0.550624410890399 + 0.*I}
{0.64, 0.5502395618560121 + 0.*I}
{0.66, 0.5498920323382729 + 0.*I}
{0.68, 0.5495814614522808 + 0.*I}
{0.7000000000000001, 0.5493075149019615 + 0.*I}
{0.72, 0.549069935823162 + 0.*I}
{0.74, 0.5488685815465035 + 0.*I}
{0.76, 0.5487034491544112 + 0.*I}
{0.78, 0.548574691497212 + 0.*I}
{0.8, 0.5484826241258074 + 0.*I}
{0.8200000000000001, 0.5484277222942456 + 0.*I}
{0.84, 0.5484106056553166 + 0.*I}
{0.86, 0.5484320063549514 + 0.*I}
{0.88, 0.548492713735564 + 0.*I}
{0.9, 0.5485934855775623 + 0.*I}
{0.92, 0.5487349115682262 + 0.*I}
{0.9400000000000001, 0.5489172094697274 + 0.*I}
{0.96, 0.5491399286666223 + 0.*I}
{0.98, 0.5494015308218692 + 0.*I}
{1., 0.5491400315834694 + 0.*I}
{1.02, 0.5484810289744041 + 0.*I}
{1.04, 0.5478613173090636 + 0.*I}
{1.06, 0.5472817224166823 + 0.*I}
{1.08, 0.5467424316167611 + 0.*I}
{1.1, 0.5462432448774811 + 0.*I}
{1.12, 0.5457837645279421 + 0.*I}
{1.1400000000000001, 0.5453635369567088 + 0.*I}
{1.16, 0.5449821578211064 + 0.*I}
{1.18, 0.5446393498333402 + 0.*I}
{1.2, 0.5443350195882045 + 0.*I}
{1.22, 0.5440692972124693 + 0.*I}
{1.24, 0.5438425596638379 + 0.*I}
{1.26, 0.5436554348874651 + 0.*I}
{1.28, 0.5435087791025857 + 0.*I}
{1.3, 0.5434036122674242 + 0.*I}
{1.32, 0.5433409858746788 + 0.*I}
{1.34, 0.5433217408912737 + 0.*I}
{1.36, 0.5433460901585381 + 0.*I}
{1.3800000000000001, 0.5434129289063176 + 0.*I}
{1.4000000000000001, 0.5434575847342362 + 0.*I}
{1.42, 0.5426751985246802 + 0.*I}
{1.44, 0.5419369001240759 + 0.*I}
{1.46, 0.541243200381027 + 0.*I}
{1.48, 0.5405935991807227 + 0.*I}
{1.5, 0.53998702854159 + 0.*I}
{1.52, 0.5394221642681859 + 0.*I}
{1.54, 0.5388976382662549 + 0.*I}
{1.56, 0.5384121751685391 + 0.*I}
{1.58, 0.5379646655451567 + 0.*I}
{1.6, 0.5375541725549989 + 0.*I}
{1.62, 0.5371798447509044 + 0.*I}
{1.6400000000000001, 0.5368406645795571 + 0.*I}
{1.6600000000000001, 0.5365348795363127 + 0.*I}
{1.68, 0.5362588042411474 + 0.*I}
{1.7, 0.5366251498120548 + 0.*I}
{1.72, 0.5357122945594264 + 0.*I}
{1.74, 0.5348578925985707 + 0.*I}
{1.76, 0.5340611971995678 + 0.*I}
