{0., 0.42693954269139534 + 0.*I}
{0.02, 0.4274931442182951 + 0.*I}
{0.04, 0.42800978009786583 + 0.*I}
{0.06, 0.42848733342527506 + 0.*I}
{0.08, 0.42892455640323257 + 0.*I}
{0.1, 0.4293208209651964 + 0.*I}
{0.12, 0.4296759214832184 + 0.*I}
{0.14, 0.429989921810109 + 0.*I}
{0.16, 0.4302630386127114 + 0.*I}
{0.18, 0.43049555365128633 + 0.*I}
{0.2, 0.43068774877838667 + 0.*I}
{0.22, 0.4308398586538369 + 0.*I}
{0.24, 0.4309520373483166 + 0.*I}
{0.26, 0.4310243360810935 + 0.*I}
{0.28, 0.4310566903077854 + 0.*I}
{0.3, 0.43104891527163886 + 0.*I}
{0.32, 0.43100071000312445 + 0.*I}
{0.34, 0.43091167065329433 + 0.*I}
{0.36, 0.4307813150375577 + 0.*I}
{0.38, 0.4306091214111456 + 0.*I}
{0.4, 0.43039458585417406 + 0.*I}
{0.42, 0.43013730425259344 + 0.*I}
{0.44, 0.42983708671480086 + 0.*I}
{0.46, 0.42949411425622275 + 0.*I}
{0.48, 0.4291091494189434 + 0.*I}
{0.5, 0.42868381353610746 + 0.*I}
{0.52, 0.4286729188520495 + 0.*I}
{0.54, 0.42931863548093174 + 0.*I}
{0.56, 0.4299257807812713 + 0.*I}
{0.58, 0.4304926325182179 + 0.*I}
{0.6, 0.4310182039977846 + 0.*I}
{0.62, 0.43150201650789016 + 0.*I}
{0.64, 0.43194392022715505 + 0.*I}
{0.66, 0.43234395552266025 + 0.*I}
{0.68, 0.43270224683690967 + 0.*I}
{0.7000000000000001, 0.433018922351341 + 0.*I}
{0.72, 0.4332940538767097 + 0.*I}
{0.74, 0.43352761274167606 + 0.*I}
{0.76, 0.4337194387480178 + 0.*I}
{0.78, 0.4338692205368945 + 0.*I}
{0.8, 0.4339764870230031 + 0.*I}
{0.8200000000000001, 0.43404061100008867 + 0.*I}
{0.84, 0.43406082773500176 + 0.*I}
{0.86, 0.4340362735148035 + 0.*I}
{0.88, 0.43396605188774173 + 0.*I}
{0.9, 0.4338493389473761 + 0.*I}
{0.92, 0.433685543600268 + 0.*I}
{0.9400000000000001, 0.4334745442869259 + 0.*I}
{0.96, 0.4332170295554812 + 0.*I}
{0.98, 0.4329149743943085 + 0.*I}
{1., 0.4331829642428526 + 0.*I}
{1.02, 0.43394593632263395 + 0.*I}
{1.04, 0.43466653133024996 + 0.*I}
{1.06, 0.4353432119580067 + 0.*I}
{1.08, 0.43597521376213405 + 0.*I}
{1.1, 0.43656226394191755 + 0.*I}
{1.12, 0.4371043644405165 + 0.*I}
{1.1400000000000001, 0.4376016264899377 + 0.*I}
{1.16, 0.4380541451323603 + 0.*I}
{1.18, 0.4384619044990288 + 0.*I}
{1.2, 0.43882470723253997 + 0.*I}
{1.22, 0.4391421242996502 + 0.*I}
{1.24, 0.43941346474317683 + 0.*I}
{1.26, 0.439637769104003 + 0.*I}
{1.28, 0.4398138360416227 + 0.*I}
{1.3, 0.43994030020522523 + 0.*I}
{1.32, 0.44001579222856624 + 0.*I}
{1.34, 0.44003923082056073 + 0.*I}
